file,gender,age,mask,map_age,class
/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,1,45,0,1,4
/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,1,45,1,1,10
/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,1,45,0,1,4
/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,1,45,0,1,4
/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,1,45,2,1,16
/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,1,45,0,1,4
/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,1,45,0,1,4
/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,1,52,0,1,4
/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,1,52,1,1,10
/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,1,52,0,1,4
/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,1,52,0,1,4
/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,1,52,2,1,16
/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,1,52,0,1,4
/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,1,52,0,1,4
/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,0,54,0,1,1
/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,0,54,1,1,7
/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,0,54,0,1,1
/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,0,54,0,1,1
/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,0,54,2,1,13
/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,0,54,0,1,1
/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,0,54,0,1,1
/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,1,58,1,1,10
/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,1,58,2,1,16
/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,1,59,0,1,4
/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,1,59,1,1,10
/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,1,59,0,1,4
/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,1,59,0,1,4
/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,1,59,2,1,16
/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,1,59,0,1,4
/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,1,59,0,1,4
/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,1,58,1,1,10
/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,1,58,2,1,16
/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,1,58,1,1,10
/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,1,58,2,1,16
/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,1,58,0,1,4
/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,1,58,0,1,4
